Statement Period;Statement Number;Transaction Date;Fee Name;Amount(Include Tax);VAT Amount;Release Status;Release Date;Comment;Order Creation Date;Order Number;Order Line ID;Seller SKU;Lazada SKU;WHT Amount;WHT included in Amount;Order Status;Product Name
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Payment Fee;-40.63;4.6748;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Shipping Fee Paid by Buyer;160;0;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Product Price Paid by Buyer;1598;0;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Commission Fee;-268.78;37.0736;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;25 May 2025;Shipping Fee;-180.8;20.8;Released;26 May 2025;;23 May 2025;215753642103756;215753642203756;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Payment Fee;-40.63;4.6748;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee Paid by Buyer;180;0;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Product Price Paid by Buyer;1598;0;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Commission Fee;-268.78;37.0736;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee;-203.4;23.4;Released;26 May 2025;;22 May 2025;216468307868654;216468307968654;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Payment Fee;-40.63;4.6748;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee Paid by Buyer;125;0;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Product Price Paid by Buyer;1598;0;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Commission Fee;-268.78;37.0736;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee;-141.25;16.25;Released;26 May 2025;;21 May 2025;216431397120345;216431397220345;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Payment Fee;-35.57;4.0924;Released;26 May 2025;;20 May 2025;216350780298104;216350780398104;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee Paid by Buyer;135;0;Released;26 May 2025;;20 May 2025;216350780298104;216350780398104;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Product Price Paid by Buyer;1399;0;Released;26 May 2025;;20 May 2025;216350780298104;216350780398104;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Commission Fee;-235.32;32.4576;Released;26 May 2025;;20 May 2025;216350780298104;216350780398104;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee;-152.55;17.55;Released;26 May 2025;;20 May 2025;216350780298104;216350780398104;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Payment Fee;-35.57;4.0924;Released;26 May 2025;;20 May 2025;215566433656391;215566433756391;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee Paid by Buyer;135;0;Released;26 May 2025;;20 May 2025;215566433656391;215566433756391;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Product Price Paid by Buyer;1399;0;Released;26 May 2025;;20 May 2025;215566433656391;215566433756391;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Commission Fee;-235.32;32.4576;Released;26 May 2025;;20 May 2025;215566433656391;215566433756391;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee;-152.55;17.55;Released;26 May 2025;;20 May 2025;215566433656391;215566433756391;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Payment Fee;-35.57;4.0924;Released;26 May 2025;;20 May 2025;216322581641677;216322581741677;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Returned;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee Paid by Buyer;135;0;Released;26 May 2025;;20 May 2025;216322581641677;216322581741677;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Returned;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Product Price Paid by Buyer;1399;0;Released;26 May 2025;;20 May 2025;216322581641677;216322581741677;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Returned;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Commission Fee;-235.32;32.4576;Released;26 May 2025;;20 May 2025;216322581641677;216322581741677;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Returned;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;24 May 2025;Shipping Fee;-152.55;17.55;Released;26 May 2025;;20 May 2025;216322581641677;216322581741677;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Returned;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;21 May 2025;Payment Fee;-35.57;4.0924;Released;26 May 2025;;15 May 2025;215991376060948;215991376160948;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;21 May 2025;Shipping Fee Paid by Buyer;135;0;Released;26 May 2025;;15 May 2025;215991376060948;215991376160948;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;21 May 2025;Product Price Paid by Buyer;1399;0;Released;26 May 2025;;15 May 2025;215991376060948;215991376160948;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;21 May 2025;Commission Fee;-235.32;32.4576;Released;26 May 2025;;15 May 2025;215991376060948;215991376160948;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;21 May 2025;Shipping Fee;-152.55;17.55;Released;26 May 2025;;15 May 2025;215991376060948;215991376160948;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;22 May 2025;Penalties for Fulfillment;-13;0;Released;26 May 2025;FR;13 May 2025;215865533084652;215865533184652;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;17 May 2025;Payment Fee;-35.57;4.0924;Released;19 May 2025;;13 May 2025;215865533084652;215865533184652;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;17 May 2025;Shipping Fee Paid by Buyer;160;0;Released;19 May 2025;;13 May 2025;215865533084652;215865533184652;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;17 May 2025;Product Price Paid by Buyer;1399;0;Released;19 May 2025;;13 May 2025;215865533084652;215865533184652;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;17 May 2025;Commission Fee;-235.32;32.4576;Released;19 May 2025;;13 May 2025;215865533084652;215865533184652;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;17 May 2025;Shipping Fee;-180.8;20.8;Released;19 May 2025;;13 May 2025;215865533084652;215865533184652;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;22 May 2025;Penalties for Fulfillment;-13;0;Released;26 May 2025;FR;13 May 2025;215071634952061;215071635052061;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Payment Fee;-35.57;4.0924;Released;19 May 2025;;13 May 2025;215071634952061;215071635052061;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Shipping Fee Paid by Buyer;4;0;Released;19 May 2025;;13 May 2025;215071634952061;215071635052061;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Product Price Paid by Buyer;1399;0;Released;19 May 2025;;13 May 2025;215071634952061;215071635052061;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Commission Fee;-235.32;32.4576;Released;19 May 2025;;13 May 2025;215071634952061;215071635052061;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Shipping Fee;-4.52;0.52;Released;19 May 2025;;13 May 2025;215071634952061;215071635052061;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
19 May 2025 - 25 May 2025;PK2NBO6P7YY-2025-021;22 May 2025;Penalties for Fulfillment;-13;0;Released;26 May 2025;FR;13 May 2025;215071634952061;215071635152061;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Payment Fee;-25.4;2.9224;Released;19 May 2025;;13 May 2025;215071634952061;215071635152061;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Shipping Fee Paid by Buyer;156;0;Released;19 May 2025;;13 May 2025;215071634952061;215071635152061;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Product Price Paid by Buyer;999;0;Released;19 May 2025;;13 May 2025;215071634952061;215071635152061;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Commission Fee;-168.04;23.1776;Released;19 May 2025;;13 May 2025;215071634952061;215071635152061;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;18 May 2025;Shipping Fee;-176.28;20.28;Released;19 May 2025;;13 May 2025;215071634952061;215071635152061;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Payment Fee;-25.4;2.9224;Released;19 May 2025;;12 May 2025;215808970767465;215808970867465;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Shipping Fee Paid by Buyer;122;0;Released;19 May 2025;;12 May 2025;215808970767465;215808970867465;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Product Price Paid by Buyer;999;0;Released;19 May 2025;;12 May 2025;215808970767465;215808970867465;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Commission Fee;-168.04;23.1776;Released;19 May 2025;;12 May 2025;215808970767465;215808970867465;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Shipping Fee;-137.86;15.86;Released;19 May 2025;;12 May 2025;215808970767465;215808970867465;669527347-1738739024924-0;669527347_PK-3161594965;0;NO;Delivered;2 in 1 Electric Eyebrow Trimmer and Shaver, Rechargeable Hair Remover for All Parts Use in Pen Flawless Hair Remover Rechargeable Painless-Precision Eyebrow Trimmer and Eyebrow Razor Tool with LED Light for Face, Lips, Nose, Chin, Arm
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Payment Fee;-35.57;4.0924;Released;19 May 2025;;12 May 2025;215808970767465;215808970967465;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Shipping Fee Paid by Buyer;3;0;Released;19 May 2025;;12 May 2025;215808970767465;215808970967465;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Product Price Paid by Buyer;1399;0;Released;19 May 2025;;12 May 2025;215808970767465;215808970967465;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Commission Fee;-235.32;32.4576;Released;19 May 2025;;12 May 2025;215808970767465;215808970967465;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Shipping Fee;-3.39;0.39;Released;19 May 2025;;12 May 2025;215808970767465;215808970967465;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
12 May 2025 - 18 May 2025;PK2NBO6P7YY-2025-020;13 May 2025;Payment Fee;-35.57;4.0924;Released;19 May 2025;;11 May 2025;214972063614233;214972063714233;588004570-1727902372233-0;588004570_PK-2711509827;0;NO;Delivered;Electric Callus Remover for Feet, 2in1 Rechargeable Foot File Pedicure Tools, Portable Foot Callus Remover Water-Resistant Professional Foot Scrubber for Dead Skin Women Men Travel(Pink
